PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2017-0296,6/12/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,CEW Exhibited/Laser,L1,Mentally unstable,Yes,Hispanic,Female,38,0,0 feet to 1 feet,,,42,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2018-0252,7/10/2018,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Male,27,0,0 feet to 1 feet,,,54,Small,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,No
FTN2018-0252,7/10/2018,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,Unknown,Yes,Black,Male,41,0,0 feet to 1 feet,,,54,Small,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,No
FTN2016-0115,2/24/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,,0,11 feet to 14 feet,,,32,Medium,5'4'' to 5'6'',No,No,No,,refuse verbal commands,No
FTN2017-0008,1/12/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,L1,None detected,Yes,Hispanic,Male,53,0,0 feet to 1 feet,,,,Medium,5'7'' to 5'9'',No,No,Yes,,Escape,Yes
FTN2017-0008,1/12/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,L1,None detected,Yes,White,Male,34,0,0 feet to 1 feet,,,,Medium,5'7'' to 5'9'',No,No,Yes,,Escape,Yes
FTN2017-0008,1/12/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,29,0,0 feet to 1 feet,,,,Medium,5'7'' to 5'9'',No,No,Yes,,Escape,Yes
FTN2017-0008,1/12/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,L1,None detected,Yes,White,Male,31,0,0 feet to 1 feet,,,,Medium,5'7'' to 5'9'',No,No,Yes,,Escape,Yes
FTN2017-0048,1/31/2017,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,Unknown,Yes,Black,Female,35,0,1 feet to 3 feet,,,46,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0008,1/4/2016,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,L1,Alchohol,Yes,White,Male,,0,0 feet to 1 feet,,,45,Medium,5'4'' to 5'6'',No,Yes,Yes,,Battery on Police Officer,Yes
FTN2017-0234,5/9/2017,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,Black,Male,40,0,0 feet to 1 feet,,,,Small,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,Yes
FTN2017-0234,5/9/2017,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,CEW Exhibited/Laser,L1,None detected,Yes,Black,Male,29,0,0 feet to 1 feet,,,,Small,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,Yes
FTN2017-0234,5/9/2017,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,29,0,0 feet to 1 feet,,,,Small,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,Yes
FTN2017-0234,5/9/2017,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,40,0,0 feet to 1 feet,,,,Small,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,Yes
FTN2016-0076,2/7/2016,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,Alchohol,Yes,Black,Male,39,0,11 feet to 14 feet,,,27,Small,5'10'' to 6'0'',No,No,No,,Other,No
FTN2017-0595,11/21/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,,0,7 feet to 10 feet,Male,Black,24,Small,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2017-0595,11/21/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,27,0,7 feet to 10 feet,Male,Black,24,Small,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2017-0595,11/21/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,25,0,7 feet to 10 feet,Male,Black,24,Small,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2016-0585,11/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,Black,Male,32,0,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0585,11/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,32,0,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0585,11/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,32,0,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0585,11/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,None detected,Yes,Asian/Pacifi,Male,41,0,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0585,11/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,43,0,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0585,11/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,Black,Male,43,0,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2020-0084,3/16/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,,Arresting,Good,Clear Conditions,Baton/PR-24 (Strike),L3,Unknown,Yes,Black,Male,39,0,0 feet to 1 feet,Male,Black,25,Medium,5'10'' to 6'0'',Yes,No,Yes,,refuse verbal commands,No
FTN2020-0084,3/16/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,,Arresting,Good,Clear Conditions,Hands,L1,Unknown,No,Black,Male,39,0,0 feet to 1 feet,Male,Black,25,Medium,5'10'' to 6'0'',Yes,No,Yes,,refuse verbal commands,No
FTN2020-0084,3/16/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,,Arresting,Good,Clear Conditions,Hands,L1,Unknown,No,Black,Male,48,0,0 feet to 1 feet,Male,Black,25,Medium,5'10'' to 6'0'',Yes,No,Yes,,refuse verbal commands,No
FTN2016-0635,12/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Black,Male,28,0,1 feet to 3 feet,Male,Black,21,Medium,5'0'' to 5'3'',No,No,No,,refuse verbal commands,No
FTN2016-0635,12/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,Unknown,No,Black,Male,28,0,1 feet to 3 feet,Male,Black,21,Medium,5'0'' to 5'3'',No,No,No,,refuse verbal commands,No
FTN2016-0635,12/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Asian/Pacifi,Male,41,0,1 feet to 3 feet,Male,Black,21,Medium,5'0'' to 5'3'',No,No,No,,refuse verbal commands,No
FTN2016-0629,12/17/2016,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Alchohol,Yes,White,Male,26,0,7 feet to 10 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2016-0629,12/17/2016,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Alchohol,Yes,White,Male,29,0,7 feet to 10 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2016-0412,8/10/2016,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),L1,Unknown,Yes,White,Male,29,0,15 feet to 18 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2019-0311,10/3/2019,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Unknown,No,Black,Male,36,0,1 feet to 3 feet,Male,Black,47,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2019-0311,10/3/2019,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,Black,Male,36,0,1 feet to 3 feet,Male,Black,47,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2016-0430,8/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Mentally unstable,Yes,Black,Male,45,0,0 feet to 1 feet,Female,Black,18,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0430,8/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,Black,Male,45,0,0 feet to 1 feet,Female,Black,18,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0430,8/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,Black,Male,51,0,0 feet to 1 feet,Female,Black,18,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2020-0018,1/17/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,27,0,,Male,Black,,,,No,No,No,,Tactical Deployments,No
FTN2020-0034,1/31/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Unknown Working Status,Between 3pm-11pm,Completed,UOF Justified With Training,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,White,Female,25,0,15 feet to 18 feet,Male,Black,,,,No,No,No,,refuse verbal commands,No
FTN2020-0185,6/28/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,White,Male,36,0,22 feet to 25 feet,Male,Black,,,,No,No,No,,Flight from an Officer,No
FTN2019-0032,1/28/2019,FOB - Field Operations Bureau,1st District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,54,0,11 feet to 14 feet,Male,Black,,Small,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2020-0296,10/6/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Black,Male,40,0,11 feet to 14 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2020-0296,10/6/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,48,0,11 feet to 14 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2020-0296,10/6/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,White,Male,44,0,11 feet to 14 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2020-0296,10/6/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Black,Male,40,0,11 feet to 14 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2020-0043,2/10/2020,FOB - Field Operations Bureau,2nd District,D.I.U.,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,White,Female,31,0,11 feet to 14 feet,Male,Black,,,,No,No,No,,refuse verbal commands,No
